what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263351578595
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263351588876
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1263351588954
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263351590326
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1263351668233
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263351747356
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263351764157
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263351764173
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263351783612
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263351784829
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263352678319
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263352679894
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263352681688
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263352955894
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263352958624
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263353308785
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263353310767
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263353312280
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263353314667
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263353355278
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263353358679
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1263353882652
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263353885070
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1263353885132
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1263353980246
