what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1263354830882
started,bundle,org.eclipse.wst.common.emf,1.1.300.v200905060430,"org.eclipse.wst.common.emf",1263354831226
started,bundle,org.eclipse.jst.j2ee.core,1.1.300.v200905060430,"org.eclipse.jst.j2ee.core",1263354831257
started,bundle,org.eclipse.jem,2.0.300.v200901272200,"org.eclipse.jem",1263354831709
started,bundle,org.eclipse.jst.jee,1.0.200.v200905290632,"org.eclipse.jst.jee",1263354831912
started,bundle,org.eclipse.jpt.core,2.2.0.v200906070220,"org.eclipse.jpt.core",1263354832006
started,bundle,org.eclipse.jpt.eclipselink.core,1.2.0.v200905310000,"org.eclipse.jpt.eclipselink.core",1263354832052
started,bundle,org.eclipse.wst.sse.core,1.1.400.v200905141750,"org.eclipse.wst.sse.core",1263354832162
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks.ui",1263354832224
started,bundle,org.eclipse.wst.xml.core,1.1.400.v200904300540,"org.eclipse.wst.xml.core",1263354832255
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.300.v200811200330,"org.eclipse.wst.common.emfworkbench.integration",1263354832427
started,bundle,org.eclipse.wst.common.modulecore,1.1.300.v200904132230,"org.eclipse.wst.common.modulecore",1263354832442
started,bundle,org.eclipse.wst.validation,1.2.102.v200905201610,"org.eclipse.wst.validation",1263354832489
started,bundle,org.eclipse.jst.j2ee,1.1.300.v200905290632,"org.eclipse.jst.j2ee",1263354832552
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263355159138
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263355159153
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263355159294
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263355160791
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.selectAll",1263355164052
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1263355164488
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263355165705
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263355192459
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.selectAll",1263355215422
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1263355215812
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1263355216421
